song_id,flagged,violence_score,self_harm_score,sexual_score,harassment_score,hate_score,violence_flag,self_harm_flag,sexual_flag,harassment_flag,hate_flag
9175040,False,0.024004172533750534,5.7283599744550884e-05,0.0993417501449585,0.002144648926332593,0.0009097006404772401,False,False,False,False,False
720897,False,0.020024897530674934,0.001463628257624805,0.13970741629600525,0.12726512551307678,0.04346895590424538,False,False,False,False,False
8519683,False,0.09635145962238312,0.00036403958802111447,0.008231565356254578,0.0463564470410347,0.020643945783376694,False,False,False,False,False
2326534,False,0.051480457186698914,0.001785307191312313,0.02586544118821621,0.11683384329080582,0.04910094290971756,False,False,False,False,False
720906,True,0.6516058444976807,0.003655476262792945,0.9049770832061768,0.6520628333091736,0.23685605823993683,True,False,True,True,False
720911,False,0.03107854723930359,6.530520477099344e-05,0.012027811259031296,0.2374306172132492,0.2315482348203659,False,False,False,False,False
720913,False,0.17186903953552246,0.007472742814570665,0.1418670117855072,0.09878835827112198,0.06121444329619408,False,False,False,False,False
6553618,False,0.07082053273916245,0.04915156587958336,0.28498440980911255,0.0345727875828743,0.0031265737488865852,False,False,False,False,False
2293791,False,0.028663644567131996,0.0014484248822554946,0.055884283035993576,0.3171153962612152,0.11573318392038345,False,False,False,False,False
458789,True,0.6070371270179749,0.00014070479664951563,0.4791511297225952,0.8800512552261353,0.6411271691322327,True,False,False,True,True
3571756,False,0.08030284196138382,0.004607412964105606,0.04882819578051567,0.04194241017103195,0.04299977794289589,False,False,False,False,False
2916397,False,0.1179363802075386,0.004977209027856588,0.006139767821878195,0.35614392161369324,0.1428481489419937,False,False,False,False,False
2916402,True,0.872196614742279,0.014515851624310017,0.010205836966633797,0.16144469380378723,0.019542144611477852,True,False,False,False,False
7077938,False,0.03533991426229477,0.0006772287306375802,0.18687529861927032,0.06826914101839066,0.014600787311792374,False,False,False,False,False
2916404,False,0.39254432916641235,0.0002851824974641204,0.06707295030355453,0.06854471564292908,0.01862337812781334,False,False,False,False,False
2949177,True,0.11716081202030182,0.001984301023185253,0.6600235104560852,0.09967362135648727,0.06100874021649361,False,False,True,False,False
2916410,False,0.10475015640258789,0.0004339980660006404,0.42323037981987,0.2650003135204315,0.10489337146282196,False,False,False,False,False
6858089,False,0.03125951439142227,0.015156124718487263,0.0029870676808059216,0.012465480715036392,0.002692946931347251,False,False,False,False,False
3244095,True,0.43578165769577026,0.0007427441887557507,0.5622385144233704,0.4801104664802551,0.1728498786687851,False,False,True,True,False
3244096,True,0.0890081599354744,0.00012652607983909547,0.6929146647453308,0.14912843704223633,0.09992410987615585,False,False,True,False,False
3244097,False,0.030112672597169876,0.05344514548778534,0.008278359659016132,0.007486654911190271,0.008473441004753113,False,False,False,False,False
2916416,False,0.09817802906036377,0.0008664708584547043,0.021777711808681488,0.15607818961143494,0.12583720684051514,False,False,False,False,False
3244099,True,0.4353945255279541,0.0017037406796589494,0.5459476113319397,0.7751608490943909,0.48564937710762024,False,False,True,True,True
3244100,True,0.1576772779226303,0.0005456275539472699,0.6408327221870422,0.5836445093154907,0.1373811513185501,False,False,True,True,False
2916421,False,0.05549440532922745,0.004555296152830124,0.00046061535249464214,0.03856988623738289,0.029744649305939674,False,False,False,False,False
3244102,False,0.020410388708114624,8.174827235052362e-05,0.105806365609169,0.03766768053174019,0.007409004494547844,False,False,False,False,False
2949190,False,0.15500645339488983,0.0008923468412831426,0.28133347630500793,0.28831982612609863,0.20133209228515625,False,False,False,False,False
3014727,True,0.007513812743127346,0.0016953123267740011,0.18456362187862396,0.7770925164222717,0.2673836648464203,False,False,False,True,False
2916427,False,0.17415450513362885,0.01560869999229908,0.009487119503319263,0.022412238642573357,0.011397430673241615,False,False,False,False,False
3571790,False,0.0031435724813491106,8.168305066647008e-05,0.005448366980999708,0.0004721968143712729,0.00024586240760982037,False,False,False,False,False
6858094,False,0.011738198809325695,0.011122841387987137,0.000766962009947747,0.0013769874349236488,0.0005505214212462306,False,False,False,False,False
2293843,True,0.033734265714883804,0.0005876496434211731,0.16251635551452637,0.572910487651825,0.14244866371154785,False,False,False,True,False
2949205,True,0.539435863494873,0.0004933900199830532,0.8141881823539734,0.4223894774913788,0.008272415027022362,False,False,True,False,False
8585302,False,0.2179364114999771,0.0013119983486831188,0.01738864555954933,0.045796021819114685,0.0017131780041381717,False,False,False,False,False
6858096,True,0.6380972862243652,0.004003206733614206,0.0071808649227023125,0.19647300243377686,0.008341223001480103,True,False,False,False,False
2293853,False,0.006338429171591997,0.003507704474031925,0.004265780560672283,0.00428210012614727,0.002054176526144147,False,False,False,False,False
6553693,False,0.025116896256804466,0.00015196562162600458,0.2232900708913803,0.2443430870771408,0.13475163280963898,False,False,False,False,False
